timestamp	n_reports	n_success	pass_pct	n_fail	tierA	tierB	tierC	tierD	classes
2026-07-14T12:20:10	15377	13638	88.7	1739	529	1129	81	0	timeout:831,no_conformers:236,donor_H_atom_count:174,high_rmsd:98,carborane_unsupported:81,gen_exception_other:62,geometry_or_fragment_change:57,EZ_bond_stereo:56,string_mismatch_other:44,winding_flip:30,atom_stereo:19,macrocycle_perception:10,kekulize_encode_crash:10,H_on_terminal_oxo_imido:9,encode_crash_other:9,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
2026-07-14T12:51:10	15591	13832	88.7	1759	538	1139	82	0	timeout:837,no_conformers:239,donor_H_atom_count:179,high_rmsd:100,carborane_unsupported:82,gen_exception_other:63,geometry_or_fragment_change:58,EZ_bond_stereo:57,string_mismatch_other:44,winding_flip:30,atom_stereo:19,macrocycle_perception:10,kekulize_encode_crash:10,H_on_terminal_oxo_imido:9,encode_crash_other:9,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
2026-07-14T13:22:08	15773	13990	88.7	1783	551	1150	82	0	timeout:845,no_conformers:241,donor_H_atom_count:184,high_rmsd:101,carborane_unsupported:82,gen_exception_other:64,geometry_or_fragment_change:60,EZ_bond_stereo:57,string_mismatch_other:45,winding_flip:31,atom_stereo:20,macrocycle_perception:11,encode_crash_other:10,kekulize_encode_crash:10,H_on_terminal_oxo_imido:9,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
2026-07-14T13:53:12	15977	14161	88.6	1816	562	1170	84	0	timeout:855,no_conformers:249,donor_H_atom_count:189,high_rmsd:104,carborane_unsupported:84,gen_exception_other:66,geometry_or_fragment_change:61,EZ_bond_stereo:57,string_mismatch_other:46,winding_flip:31,atom_stereo:21,macrocycle_perception:11,encode_crash_other:10,kekulize_encode_crash:10,H_on_terminal_oxo_imido:9,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
2026-07-14T14:24:09	16190	14350	88.6	1840	570	1183	86	1	timeout:863,no_conformers:254,donor_H_atom_count:190,high_rmsd:105,carborane_unsupported:86,gen_exception_other:66,geometry_or_fragment_change:63,EZ_bond_stereo:57,string_mismatch_other:48,winding_flip:31,atom_stereo:23,macrocycle_perception:11,encode_crash_other:10,kekulize_encode_crash:10,H_on_terminal_oxo_imido:9,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2,interrupted:1
2026-07-14T14:55:12	16392	14530	88.6	1862	575	1199	88	0	timeout:875,no_conformers:257,donor_H_atom_count:190,high_rmsd:106,carborane_unsupported:88,gen_exception_other:67,geometry_or_fragment_change:63,EZ_bond_stereo:58,string_mismatch_other:50,winding_flip:31,atom_stereo:23,encode_crash_other:11,macrocycle_perception:11,kekulize_encode_crash:10,H_on_terminal_oxo_imido:9,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
2026-07-14T15:26:08	16587	14708	88.7	1879	580	1210	89	0	timeout:885,no_conformers:257,donor_H_atom_count:193,high_rmsd:106,carborane_unsupported:89,gen_exception_other:68,geometry_or_fragment_change:63,EZ_bond_stereo:59,string_mismatch_other:51,winding_flip:31,atom_stereo:23,encode_crash_other:11,macrocycle_perception:11,kekulize_encode_crash:10,H_on_terminal_oxo_imido:9,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
2026-07-14T15:57:10	16796	14899	88.7	1897	585	1223	89	0	timeout:893,no_conformers:261,donor_H_atom_count:194,high_rmsd:107,carborane_unsupported:89,gen_exception_other:69,geometry_or_fragment_change:64,EZ_bond_stereo:60,string_mismatch_other:51,winding_flip:32,atom_stereo:23,encode_crash_other:11,macrocycle_perception:11,kekulize_encode_crash:10,H_on_terminal_oxo_imido:9,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
2026-07-14T16:28:11	16981	15063	88.7	1918	589	1239	90	0	timeout:906,no_conformers:263,donor_H_atom_count:195,high_rmsd:107,carborane_unsupported:90,gen_exception_other:70,geometry_or_fragment_change:64,EZ_bond_stereo:60,string_mismatch_other:52,winding_flip:32,atom_stereo:24,macrocycle_perception:12,encode_crash_other:11,kekulize_encode_crash:10,H_on_terminal_oxo_imido:9,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
2026-07-14T16:59:08	17162	15218	88.7	1944	599	1255	90	0	timeout:918,no_conformers:266,donor_H_atom_count:199,high_rmsd:107,carborane_unsupported:90,gen_exception_other:71,geometry_or_fragment_change:66,EZ_bond_stereo:62,string_mismatch_other:53,winding_flip:32,atom_stereo:24,macrocycle_perception:13,encode_crash_other:11,kekulize_encode_crash:10,H_on_terminal_oxo_imido:9,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
2026-07-14T17:29:30	17365	15403	88.7	1962	605	1266	91	0	timeout:926,no_conformers:269,donor_H_atom_count:200,high_rmsd:109,carborane_unsupported:91,gen_exception_other:71,geometry_or_fragment_change:67,EZ_bond_stereo:62,string_mismatch_other:54,winding_flip:32,atom_stereo:24,macrocycle_perception:13,encode_crash_other:11,kekulize_encode_crash:11,H_on_terminal_oxo_imido:9,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
2026-07-14T17:59:55	17553	15571	88.7	1982	613	1277	92	0	timeout:933,no_conformers:273,donor_H_atom_count:202,high_rmsd:110,carborane_unsupported:92,gen_exception_other:71,geometry_or_fragment_change:67,EZ_bond_stereo:63,string_mismatch_other:54,winding_flip:33,atom_stereo:25,macrocycle_perception:13,encode_crash_other:12,kekulize_encode_crash:12,H_on_terminal_oxo_imido:9,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
2026-07-14T18:31:12	17730	15722	88.7	2008	618	1298	92	0	timeout:947,no_conformers:279,donor_H_atom_count:202,high_rmsd:112,carborane_unsupported:92,gen_exception_other:72,geometry_or_fragment_change:67,EZ_bond_stereo:63,string_mismatch_other:56,winding_flip:33,atom_stereo:25,macrocycle_perception:13,encode_crash_other:12,kekulize_encode_crash:12,H_on_terminal_oxo_imido:10,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
2026-07-14T19:02:11	17871	15843	88.7	2028	620	1315	93	0	timeout:959,no_conformers:283,donor_H_atom_count:202,high_rmsd:114,carborane_unsupported:93,gen_exception_other:73,geometry_or_fragment_change:67,EZ_bond_stereo:63,string_mismatch_other:56,winding_flip:33,atom_stereo:25,macrocycle_perception:13,encode_crash_other:12,kekulize_encode_crash:12,H_on_terminal_oxo_imido:10,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
2026-07-14T19:33:12	17964	15911	88.6	2053	624	1336	93	0	timeout:979,no_conformers:284,donor_H_atom_count:202,high_rmsd:114,carborane_unsupported:93,gen_exception_other:73,geometry_or_fragment_change:69,EZ_bond_stereo:64,string_mismatch_other:56,winding_flip:33,atom_stereo:25,macrocycle_perception:14,encode_crash_other:12,kekulize_encode_crash:12,H_on_terminal_oxo_imido:10,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
2026-07-14T20:04:11	18081	16011	88.6	2070	626	1351	93	0	timeout:993,no_conformers:285,donor_H_atom_count:203,high_rmsd:114,carborane_unsupported:93,gen_exception_other:73,geometry_or_fragment_change:69,EZ_bond_stereo:65,string_mismatch_other:56,winding_flip:33,atom_stereo:25,macrocycle_perception:14,encode_crash_other:12,kekulize_encode_crash:12,H_on_terminal_oxo_imido:10,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
2026-07-14T20:35:09	18225	16129	88.5	2096	633	1368	95	0	timeout:1009,no_conformers:286,donor_H_atom_count:204,high_rmsd:116,carborane_unsupported:95,gen_exception_other:73,geometry_or_fragment_change:69,EZ_bond_stereo:66,string_mismatch_other:57,winding_flip:33,atom_stereo:26,macrocycle_perception:14,kekulize_encode_crash:13,encode_crash_other:12,H_on_terminal_oxo_imido:10,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
2026-07-14T21:06:09	18376	16255	88.5	2121	639	1386	96	0	timeout:1024,no_conformers:287,donor_H_atom_count:205,high_rmsd:118,carborane_unsupported:96,gen_exception_other:75,geometry_or_fragment_change:69,EZ_bond_stereo:66,string_mismatch_other:57,winding_flip:33,atom_stereo:27,macrocycle_perception:14,encode_crash_other:13,kekulize_encode_crash:13,H_on_terminal_oxo_imido:11,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
2026-07-14T21:37:13	18504	16366	88.4	2138	642	1400	96	0	timeout:1036,no_conformers:289,donor_H_atom_count:206,high_rmsd:118,carborane_unsupported:96,gen_exception_other:75,geometry_or_fragment_change:69,EZ_bond_stereo:68,string_mismatch_other:57,winding_flip:33,atom_stereo:27,macrocycle_perception:14,encode_crash_other:13,kekulize_encode_crash:13,H_on_terminal_oxo_imido:11,garbled_aromatic:7,geometry_NON:4,rmsd_mapping_failed:2
